	address	name	title	График работы	Опыт работы	Сфера деятельности
4575	метро , Москва, м. ВДНХ, ВДНХ	mastera_po_ukladke_1462160980	Мастера по укладке			
4576	"м. Охотный ряд,  
 Москва"	komplektovschiktsa_kosmetiki_rabota_s_prozhivaniem_1152472608	Комплектовщик(ца) косметики, работа с проживанием	вахтовый метод	не имеет значения	Производство, сырьё, с/х
4577	"м. Дубровка,  
 1-я Улица Машиностроения дом 10"	povar_universal_1063011980	Повар универсал	сменный график	не имеет значения	Туризм, рестораны
4578	"м. Хорошево,  
 Маршала Жукова проспект д.14 корп.1"	prodavets_v_gastronomicheskiy_otdel_magazina_sobsl_764814345	Продавец в гастрономический отдел магазина с/обсл			
4579	"м. Новые Черемушки,  
 Каховка дом 28к2"	administrator_avtomoyki_1188191232	Администратор автомойки	сменный график	более 1 года	Автомобильный бизнес
4580	"м. Ростокино,  
 Проспект Мира, д. 211"	ohrannik_dnevnoy_m._vdnh_843401236	Охранник дневной (м. ВДНХ)	сменный график	не имеет значения	Охрана, безопасность
4581	Москва, м. Люблино, Тихорецкий бульвар, 1к3	prodavets_kassir_1669815775	Продавец кассир	полный день	не имеет значения	Продажи
4582	Москва, м. Угрешская, Волгоградский проспект, вл40	avtomoyschik_moyschitsa_avtomobiley_uchenik_943828718	Автомойщик Мойщица автомобилей Ученик	сменный график	более 1 года	Автомобильный бизнес
4583		prodavets-konsultant_750386855	Продавец-консультант	сменный график	не имеет значения	Продажи
4584	"м. Планерная,  
 Соловьинаяя роща,11"	massazhist_1017809023	Массажист	сменный график	более 3 лет	Фитнес, салоны красоты
4585		avtomehanik-avtoslesar_1601320895	Автомеханик-автослесарь	полный день	более 3 лет	Автомобильный бизнес
4586	Москва, м. Курская, метро Курская	upakovschikitsy_kosmetiki_vahta_1645457566	Упаковщики(цы) косметики вахта	вахтовый метод	не имеет значения	Без опыта, студенты
4587	г. Зеленоград, д 537а	prodavets_v_kafe_pri_azk_leningradskaya_1316346393	Продавец в кафе при азк Ленинградская	сменный график	не имеет значения	Продажи
4588	"м. Озёрная,  
 Рябиновая 63"	voditel_kategorii_e_1354671639	Водитель категории Е			
4589	Москва, м. Лермонтовский проспект, Рождественская улица, 39	administrator_salona_krasoty_1481636096	Администратор салона красоты	сменный график	не имеет значения	Фитнес, салоны красоты
4590	Москва, м. Смоленская, Смоленский бульвар, 24с2	gazoelektrosvarschik_naks_1720445823	Газоэлектросварщик накс	полный день	более 3 лет	Строительство
4591	Москва, м. Шипиловская, Шипиловская улица	menedzher_v_klining_1230146499	Менеджер в клининг	свободный график	не имеет значения	Управление персоналом
4592	"м. Сретенский бульвар,  
 Милютинский пер, 19/4с1"	parikmaher-kolorist_1105036332	Парикмахер-колорист	сменный график	более 3 лет	Фитнес, салоны красоты
4593	Москва, м. Беговая, Хорошёвское шоссе, 32А	sborschik_televizorov_1595851257	Сборщик телевизоров	вахтовый метод	не имеет значения	Производство, сырьё, с/х
4594	Москва, м. Люблино, метро Люблино	voditel_taksi_na_zarplatu_1646621860	Водитель такси на зарплату	сменный график	не имеет значения	Транспорт, логистика
4595	Москва, м. Текстильщики, метро Текстильщики	florist_1688108194	Флорист			
4596	"м. Площадь революции,  
 Москва"	malyar_po_antikorroziynoy_zaschite_metallokonstruktsiy_1334341885	Маляр по антикоррозийной защите металлоконструкций	вахтовый метод	более 1 года	Строительство
4597	"м. Тимирязевская,  
 Кафе"	ofitsiantka_1707142423	Официант(ка)	сменный график	более 1 года	Туризм, рестораны
4598	"м. Свиблово,  
 ул. Радужная 15/1"	naraschivanie_resnits_1216568350	Наращивание ресниц	сменный график	более 1 года	Фитнес, салоны красоты
4599	Москва, м. Юго-Западная, МКАД, 51-й километр, внешняя сторона	ofitsiant_1173814180	Официант	сменный график	более 1 года	Туризм, рестораны
4600	Москва, м. Пражская, Дорожная улица, 3к19с1	montazhniki_sks_vols_1088203236	Монтажники, скс, Волс			
4601	"м. Нижегородская,  
 ул Нижегородская, 33"	administrator_kluba_edinoborstv_1278373888	Администратор клуба единоборств	сменный график	не имеет значения	Фитнес, салоны красоты
4602	"м. Площадь революции,  
 Москва"	trebuyutsya_alpinisty_1413046395	Требуются альпинисты			
4603	"м. Алтуфьево,  
 Дмитровское шоссе, д.163 А ТЦ РИО"	ohrannik_dnevnoy_m._altufevo_tts_rio_914463357	Охранник дневной (м. Алтуфьево ТЦ рио)	сменный график	не имеет значения	Охрана, безопасность
4604	Москва, м. Рязанский проспект, улица Вострухина, 4А	ohrannik_sklada_g._zhukovskiy_1085739680	Охранник склада (г. Жуковский)	вахтовый метод	не имеет значения	Охрана, безопасность
4605	"м. Волоколамская,  
 улица Василия Петушкова, 3к3с8"	voditel-ekspeditor_1012909830	Водитель-экспедитор	полный день	более 1 года	Транспорт, логистика
4606	"м. Воробьевы Горы,  
 Косыгина, 15"	v_nochnoy_klub_trebuetsya_hostes_1188439306	В ночной клуб требуется хостес			
4608	Москва, м. Крылатское, метро Крылатское	povar_v_stolovuyu_elitnoy_shkoly_1359567383	Повар в столовую элитной школы	полный день	более 1 года	Туризм, рестораны
4609	Москва, м. Люблино, метро Люблино	prodavets_-_konsultant_moskva_1165877581	Продавец - консультант (Москва)	полный день	не имеет значения	Продажи
4610	Москва, м. Петровско-Разумовская, метро Петровско-Разумовская	gruzchik_vahta_s_prozhivaniem_i_pitaniem_1473819733	Грузчик (Вахта с проживанием и питанием)	вахтовый метод	не имеет значения	Транспорт, логистика
4611	Москва, м. Нахимовский проспект, Симферопольский бульвар, 3Г	direktor_zaveduyuschiy_kluba_1092986700	Директор (заведующий) клуба	полный день	не имеет значения	Административная работа
4612	Москва, м. Марьино, Проектируемый проезд № 4294, 1Ас1	prorab_s_brigadoy_1594663205	Прораб с бригадой	вахтовый метод	более 3 лет	Строительство
4613	Москва, м. Митино, Митинская улица, 33	menedzher_po_prodazham_m._mitino_1032278859	Менеджер по продажам (м. Митино)	полный день	не имеет значения	Продажи
4614		raskleyschik_obyavleniy_s_ezhednevnoy_oplatoy_1534730243	Расклейщик объявлений с ежедневной оплатой	свободный график	не имеет значения	Без опыта, студенты
4615	Москва, м. Варшавская, Варшавское шоссе, 76к1	prodavets_neprodovolstvennyh_tovarov_m._varshavskaya_1485389507	Продавец непродовольственных товаров м. Варшавская			
4616	Москва, м. Тушинская, метро Тушинская	shveya_remont_i_poshiv_odezhdy_1243725631	Швея, ремонт и пошив одежды	полный день	более 3 лет	Производство, сырьё, с/х
4617	Москва, м. Бауманская, Аптекарский переулок, 1	spetsialist_po_kadram_1410553422	Специалист по кадрам	полный день	более 3 лет	Управление персоналом
4618	Калужско-Рижская линия, Москва, м. Теплый стан, метро Тёплый Стан	brigada_polusuhaya_styazhka_pola_1361242618	Бригада полусухая стяжка пола			
4619	Москва, м. Чкаловская, Казарменный переулок, 8с1	prodavets_1159325536	Продавец	полный день	более 1 года	Продажи
4620	Калужско-Рижская линия, Москва, м. Теплый стан, метро Тёплый Стан	prodavets_v_gipermarket_obi_teplyy_stan_1374423267	Продавец в гипермаркет OBI Теплый стан	сменный график	не имеет значения	Продажи
4621	"м. Ломоносовский проспект,  
 Ленинские  горы дом 1 строение 40"	rabotnik_v_garderob_1470146367	Работник в гардероб			
4622		rabotnik_torgovogo_zala_vahta_s_prozhivaniem_1053870704	Работник торгового зала (вахта с проживанием)	вахтовый метод	не имеет значения	Продажи
4623	Москва, м. Бауманская, улица Фридриха Энгельса, 32с2	svarschiksantehnik_938709923	Сварщик/Сантехник	полный день	более 3 лет	Строительство
4624	Филёвская линия, Москва, м. Киевская, метро Киевская	vizitnyy_merchendayzer_g._moskva_zapad_1683369419	Визитный мерчендайзер г. Москва (Запад)	свободный график	не имеет значения	Продажи
4625	Москва, м. Нахимовский проспект, Фруктовая улица, 24	ohrana_1277175848	Охрана			
4626	Москва, м. Октябрьское поле, улица Маршала Соколовского	trebuetsya_master_shugaringa_1694333224	Требуется Мастер шугаринга			
4627	Москва, м. Электрозаводская, метро Электрозаводская	upakovschiki_tsy_vahta_ot_30_smen_s_pitaniem_1080366310	Упаковщики (цы) Вахта от 30 смен с питанием	вахтовый метод	не имеет значения	Без опыта, студенты
4628	Москва, м. Локомотив, Щёлковское шоссе, 3с1	menedzher_po_prodazham_korpusnoy_i_torgovoy_mebeli_1088924495	Менеджер по продажам корпусной и торговой мебели	полный день	более 1 года	Продажи
4629	Москва, м. Киевская, Западный административный округ, район Дорогомилово	povar_na_liniyu_razdachi_1081104771	Повар на линию раздачи			
4630	Москва, м. Марксистская, Марксистская улица, 3с2	upakovschik_marmelada_rabota_vahtoy_s_prozhivaniem_1234290041	Упаковщик мармелада (работа вахтой с проживанием)	вахтовый метод	не имеет значения	Без опыта, студенты
4631	Москва, м. Лубянка, Большой Златоустинский переулок, 7с1	ohrannik_v_kottedzhnyy_poselok_vahta_1638742893	Охранник в Коттеджный посёлок (вахта)	вахтовый метод	не имеет значения	Охрана, безопасность
4632	Москва, м. Щукинская, улица Максимова	ohrannik_bez_litsenzii_na_avtostoyanku_1445979644	Охранник без лицензии на автостоянку			
4633	"м. Фонвизинская,  
 Огородный проезд д. 20 стр. 27"	ohrannik_1186494195	Охранник	вахтовый метод	не имеет значения	Охрана, безопасность
4634	г. Москва, м. Селигерская, Дмитровское шоссе, вл. 107е	prodavets_1005071049	Продавец	сменный график	не имеет значения	Продажи
4635	Москва, м. Новые Черемушки, улица Цюрупы, 13	menedzher_v_pitstseriyu_1341966815	Менеджер в пиццерию	полный день	более 1 года	Управление персоналом
4636	Москва, м. Озёрная, улица Мичуринский Проспект, Олимпийская Деревня	prodavets-konsultant_1038377490	Продавец-консультант	сменный график	не имеет значения	Продажи
4637	Москва, м. Тверская, метро Тверская	merchendayzer_-_gruzchik_1722851399	Мерчендайзер - грузчик	сменный график	не имеет значения	Продажи
4638	Москва, м. Преображенская площадь, Краснобогатырская улица, 42	dezinfektor_1539662806	Дезинфектор			
4639	Москва, м. Теплый стан, Профсоюзная улица	povar_uzbekskoy_kuhni_911587025	Повар узбекской кухни			
4640	Москва, Зеленоград, корп. 1557	shinomontazhnik_master_shinomontazh_avtomoyschik_moyschik_1200975816	Шиномонтажник Мастер шиномонтаж Автомойщик мойщик	сменный график	не имеет значения	Автомобильный бизнес
4641	Москва, м. Калужская, Профсоюзная улица, 82	voditel_taksi_1581708801	Водитель такси	свободный график	не имеет значения	Транспорт, логистика
4642	Москва, м. Отрадное, улица Хачатуряна	fasovschik_na_proizvodstvo_1511711115	Фасовщик на производство	полный день	не имеет значения	Без опыта, студенты
4643	"м. Чистые пруды,  
 ул. Мясницкая 24"	ofitsiant_376423687	Официант	полный день	не имеет значения	Туризм, рестораны
4644	Москва, м. Лихоборы, Большая Академическая улица, 44к1	voditel_taksi_1536040635	Водитель такси	свободный график	не имеет значения	Транспорт, логистика
4645	Москва, м. Выставочная, Пресненская набережная, 12	kassir_1614505979	Кассир	полный день	не имеет значения	Продажи
4646	"м. Проспект Мира,  
 ул Гиляровского д 10 стр 1"	elektrik-santehnik_1568113209	Электрик-сантехник			
4647	"м. Славянский бульвар,  
 метро Славянский бульвар"	voditel_kategorii_s_1700095694	Водитель категории С	сменный график	более 1 года	Транспорт, логистика
4648	"м. Улица Горчакова,  
 ул.Южнобутовская, 58"	prodavets_vesovogo_tovara_m._ulitsa_gorchakova_1072825126	Продавец весового товара (м. Улица Горчакова)	сменный график	не имеет значения	Без опыта, студенты
4649	"м. Красные ворота,  
 Каланчевская ул дом 11, с 3"	raznorabochiy_na_vahtu_1063167214	Разнорабочий на вахту	полный день	не имеет значения	Без опыта, студенты
4650	"м. Площадь революции,  
 Москва"	ohrannik_1347093276	Охранник	вахтовый метод	не имеет значения	Охрана, безопасность
4651	Москва, м. Сходненская, Сходненская улица, 25	gruzchik-merchendayzer_shodnenskaya_1188047598	Грузчик-мерчендайзер (Сходненская)	полный день	не имеет значения	Продажи
4652	Москва, м. Каховская, Чонгарский бульвар, 21	prodavets-konsultant_operator_vydachi_zakazov_1374887125	Продавец-консультант, оператор выдачи заказов	сменный график	более 1 года	Продажи
4653	Москва, м. Китай-город, улица Маросейка, 6	povar_-_kassir_rabotnik_restorana_1173267683	Повар - кассир / Работник ресторана	сменный график	не имеет значения	Туризм, рестораны
4654	Москва, м. Волоколамская, Пятницкое шоссе, 14	razrabotchik-programmist_back-end_android_ios_1450664434	Разработчик-программист (Back-end, Android, iOS)	полный день	более 5 лет	IT, интернет, телеком
4655	"м. Волгоградский проспект,  
 Волгоградский проспект д.32 стр.8"	assistent_stomatologa_1218700232	Ассистент стоматолога			
4656	Москва, м. Комсомольская, метро Комсомольская	rabochie_na_otdelku_1609812600	Рабочие на отделку			
4657	Москва, м. Калужская, метро Калужская	voditel_kategorii_s_1614040296	Водитель категории С	сменный график	более 1 года	Транспорт, логистика
4658	Москва, м. Теплый стан, Юго-Западный административный округ, район Ясенево	konsultant_1057104613	Консультант	полный день	не имеет значения	Без опыта, студенты
4660	"м. Медведково,  
 Московская область, Мытищи, Осташковское шоссе, вл2с1"	kassir_990954381	Кассир	сменный график	не имеет значения	Продажи
4661	Москва, м. Театральная, улица Большая Дмитровка, 5/6с1	promouter_m.kievskaya_930030669	Промоутер (м.Киевская)	полный день	не имеет значения	Туризм, рестораны
4662	Москва, м. Кунцевская, метро Кунцевская	prodavets-konsultant_m._kuntsevskaya_1562440134	Продавец-консультант (м. Кунцевская)	сменный график	не имеет значения	Продажи
4663	Москва, м. Раменки, улица Генерала Дорохова, 16	dvornik_1113929482	Дворник	полный день	не имеет значения	Без опыта, студенты
4664	Москва, м. ВДНХ, м. ВДНХ	ohrannik_vahta_1515_3015_1518008242	Охранник вахта (15\15; 30\15)	вахтовый метод	более 1 года	Охрана, безопасность
4665		prodavets_-_kassirm.kantemirovskaya_975502618	Продавец - кассир(м.Кантемировская)	сменный график	не имеет значения	Продажи
4666		otlelochniki_902646109	Отлелочники	полный день	более 3 лет	Строительство
4667	Москва, м. Лермонтовский проспект, 1-й Люберецкий проезд, 2	buhgalter_sklada_1179071315	Бухгалтер склада			
4668	Москва, м. Юго-Западная, проспект Вернадского, 86А	povar_tts_avenyu_978780952	"Повар (ТЦ ""Авеню"")"	сменный график	не имеет значения	Туризм, рестораны
4669	Москва, м. Текстильщики, Грайвороновская улица, 23	operator_call-tsentra_1053611741	Оператор call-центра	полный день	более 1 года	Продажи
4670	"м. Кантемировская,  
 севанская 62, офис 102"	voditel_taksi_835758457	Водитель такси	сменный график	более 3 лет	Транспорт, логистика
4671	Москва, Зеленоград	agent_po_prodazhe_zagorodnoy_nedvizhimosti_1612012072	Агент по продаже загородной недвижимости	свободный график	не имеет значения	Продажи
4673	м. Печатники	voditel-operator_avtobetononasosa_1055536283	Водитель-Оператор Автобетононасоса			
4674	Филёвская линия, Москва, м. Арбатская, метро Арбатская	voditel-ekspeditor_1210472171	Водитель-экспедитор	полный день	не имеет значения	Транспорт, логистика
4675	Москва, м. Беляево, Профсоюзная улица, 96	parikmaher-universal_1510689177	Парикмахер-универсал	сменный график	более 5 лет	Фитнес, салоны красоты
4676	"м. Электрозаводская,  
 ул. Большая Семеновская, дом 31, корпус 1, офис 6"	ohrannik_kontroler_924750004	Охранник, контролер			
4677	Москва, м. Раменки, Западный административный округ, район Раменки	plitochnik_master_po_remontu_vannyh_komnat_1412816456	Плиточник / Мастер по ремонту ванных комнат	полный день	более 3 лет	Строительство
4679	Москва, м. Чертановская, метро Чертановская	master_manikyura_i_pedikyura_1549651004	Мастер маникюра и педикюра			
4680	"м. Охотный ряд,  
 Москва"	komplektovschiktsa_v_moskvu_na_sklad_chaya_vahtazhile_1130507440	Комплектовщик/ца в Москву на склад чая Вахта+жильё	вахтовый метод	не имеет значения	Без опыта, студенты
4682	Москва, м. Аэропорт, Ходынский бульвар, 4	kassir_na_podrabotku_vyplaty_ezhenedelno_1462233355	Кассир на подработку, выплаты еженедельно	свободный график	не имеет значения	Без опыта, студенты
4683	Москва, м. Чеховская, улица Петровка 34.стр1	ofitsiant_904102071	Официант	полный день	более 1 года	Туризм, рестораны
4684	Москва, м. Площадь революции, Центральный административный округ, Тверской район	podsobniki_i_raznorabochie-gruzchiki_1160479268	Подсобники и Разнорабочие-грузчики	полный день	не имеет значения	Строительство
4685	Москва, м. Царицыно, метро Царицыно	prodavets_-_kassir_1227134337	Продавец - кассир	сменный график	не имеет значения	Продажи
4686	Москва, м. Ростокино, улица Касаткина 11	voditel_1516459239	Водитель			
4687	Москва, м. Воробьевы Горы, проспект Вернадского, 3А	prodavets-barista_978894637	Продавец-бариста	полный день	не имеет значения	Без опыта, студенты
4688	Москва, м. Сходненская, Химкинский бульвар, вл7-23	kassir_1561549371	Кассир	полный день	не имеет значения	Без опыта, студенты
4689	Москва, Зеленоград	gruzchik_v_aeroport_s_pravami_kat._v_s_1576778324	Грузчик в аэропорт, с правами кат. В, С	полный день	более 1 года	Без опыта, студенты
4690	Москва, м. Лубянка, Большой Златоустинский переулок, 7с1	uborschik_pomescheniy_1644674298	Уборщик помещений	сменный график	не имеет значения	ЖКХ, эксплуатация
4691		spetsialist_otdela_obsluzhivaniya_m._teplyy_stan_857174073	Специалист отдела обслуживания м. Теплый стан	сменный график	более 1 года	Продажи
4692	Москва, м. Марьина Роща, улица Сущёвский Вал, 69с1	naturschik_demonstrator_plasticheskih_poz_1042330099	Натурщик (демонстратор пластических поз )			
4693	"м. Добрынинская,  
 ул. Коровий вал, д.1А"	prodavets-konsultant_798309759	Продавец-консультант	полный день	более 1 года	Продажи
4694	Москва, м. Коломенская, метро Коломенская	sekretar-kopirayter_489523783	Секретарь / помощник руководителя / копирайтер			
4695	Москва, м. Фили, Багратионовский проезд, 5	kassir-stazher_bez_opyta_vyplaty_ezhenedelno_1207197197	Кассир-стажер (без опыта, выплаты еженедельно)	свободный график	не имеет значения	Без опыта, студенты
4696	Москва, м. Печатники, Проектируемый проезд № 4294, 19с11	voditel_kategoriya_e_1088342373	Водитель категория Е	вахтовый метод	более 1 года	Транспорт, логистика
4697		prodavets_-_kassir_m._prazhskaya_1191571715	Продавец - кассир (м. Пражская)	сменный график	более 1 года	Продажи
4698	"м. Бауманская,  
 Нижняя Красносельская, д.35, стр.59"	master_manikyura_i_pedikyura_1578672410	Мастер маникюра и педикюра			
4699	"м. Кунцевская,  
 Дорогобужская 19"	voditel_taksi_na_zarplatu_585874601	Водитель такси на зарплату	сменный график	не имеет значения	Транспорт, логистика
4701	Москва, м. Сокол, Волоколамское шоссе, 2	domrabotnitsanik_v_zagorodnyy_dom_s_prozhiv_1450650830	Домработница(ник) в загородный дом с прожив			
4702		promouter_raspostranitel_reklamy_642409520	Промоутер, распостранитель рекламы			
4703		voditel_richtraka_novorizhskoe_shosse_900046659	Водитель ричтрака (Новорижское шоссе)	сменный график	более 1 года	Транспорт, логистика
4704	Москва, м. Курская, улица Земляной Вал, 29с1	master_po_remontu_smartfonov_planshetov_noutbukov_1612467415	Мастер по ремонту смартфонов, планшетов, ноутбуков	сменный график	более 3 лет	IT, интернет, телеком
4705	Москва, м. Менделеевская, Сущёвская улица, 27с2	predstavitel_banka_dostavka_kart_1453157284	Представитель банка (доставка карт)	полный день	не имеет значения	Без опыта, студенты
4706	Москва, м. Нагатинская, метро Нагорная, метро Нагатинская, метро Коломенская	priemschik_zakazov_v_himchistku_1261183527	Приёмщик заказов в химчистку	сменный график	более 1 года	Административная работа
4707	Москва, м. Алтуфьево, МКАД, 85-й километр, внешняя сторона	operator-kassir_azs_m._altufevo_1648356622	Оператор-кассир АЗС (м. Алтуфьево)	сменный график	не имеет значения	Продажи
4708	"м. Китай-город,  
 Москворецкая набережная, д. 7, стр. 1"	uborka_kvartir_kliner_639420035	Уборка квартир, клинер	свободный график	не имеет значения	Без опыта, студенты
4709	Москва, м. Автозаводская, улица Ленинская Слобода, 19с1	prodavets-kassir_1495051549	Продавец-кассир	полный день	не имеет значения	Туризм, рестораны
4710	"м. Октябрьское поле,  
 м Зорге, м Октябрьское поле"	voditel_taksi_1157329798	Водитель такси	полный день	не имеет значения	Транспорт, логистика
4711	Москва, м. Площадь Ильича, бульвар Энтузиастов	voditel_taksibez_arendy_1443291830	Водитель такси(без аренды)	сменный график	более 1 года	Транспорт, логистика
4712	Москва, м. Кузьминки, Зеленодольская улица, 24к2	prodavets_v_magazin_piva_1493667507	Продавец в магазин пива	полный день	не имеет значения	Продажи
4713	Москва, м. Деловой центр, Краснопресненская набережная, 14	master_universal_otdelochnik_1320095632	Мастер универсал отделочник	полный день	более 1 года	Строительство
4714	Арбатско-Покровская линия, Москва, м. Молодежная, метро Молодёжная	prodavets-konsultant_227684032	Продавец-консультант	сменный график	не имеет значения	Продажи
4715	Таганско-Краснопресненская линия, Москва, м. Улица 1905 года, метро Улица 1905 года	kassir_ul.1905_goda_1657388303	Кассир, ул.1905 года	полный день	не имеет значения	Продажи
4716	"м. Площадь революции,  
 Москва"	gornichnaya_v_apartamenty_i_priem_gostey_1683478606	Горничная в апартаменты и прием гостей	полный день	не имеет значения	Без опыта, студенты
4717	Москва, м. Лермонтовский проспект, Привольная улица, 2к5	avtomalyar_1551297094	Автомаляр	сменный график	более 5 лет	Автомобильный бизнес
4718	Москва, м. Ховрино, Северный административный округ, район Ховрино	formovschik_stekloplastika_raznorabochiy_1108142072	Формовщик стеклопластика, разнорабочий			
4719	Москва, м. Шоссе Энтузиастов, шоссе Энтузиастов, д31, стр. 38, офис 20	montazhnik_natyazhnyh_potolkov_1267331076	Монтажник натяжных потолков	полный день	более 1 года	Строительство
4722	Москва, м. Теплый стан, МКАД, 41-й километр, с1	administrator_salona_krasoty_1284000092	Администратор салона красоты	сменный график	не имеет значения	Фитнес, салоны красоты
4723	Москва, м. Сокольники, Сокольническая площадь, 9к2	kassir_obuchenie_i_prozhivanie_m._sokolniki_798345408	Кассир (обучение и проживание) м. Сокольники	полный день	не имеет значения	Без опыта, студенты
4724	"м. Площадь революции,  
 Москва"	voditel_evakuatora_1317110722	Водитель эвакуатора	неполный день	более 1 года	Транспорт, логистика
4725		prodavets_840767485	Продавец	полный день	не имеет значения	Продажи
4726	Москва, м. Волгоградский проспект, улица Талалихина, 41с9	povar_goryachego_tseha_1110370874	Повар горячего цеха	полный день	более 1 года	Туризм, рестораны
4727	Москва, м. Бауманская, метро Бауманская	master_manikyura_i_pedikyura_1483570765	Мастер маникюра и педикюра	сменный график	не имеет значения	Фитнес, салоны красоты
4728	Москва, м. Калужская, улица Бутлерова, 17Б	otdelochniki_778732102	Отделочники	полный день	более 3 лет	Строительство
4729	"м. Кантемировская,  
 Пролетарский пр-кт, 19к1"	kassir_m._kantemirovskaya_1045221805	Кассир м. Кантемировская	сменный график	не имеет значения	Продажи
4731	Поречная ул., 10, Москва, м. Братиславская	kassir_tts_mari_962224188	Кассир ТЦ Мари	сменный график	не имеет значения	Продажи
4732	Московское центральное кольцо, Москва, м. Шелепиха, станция Шелепиха	komplektovschik_1097721942	Комплектовщик	полный день	не имеет значения	Транспорт, логистика
4733	Москва, м. Октябрьское поле, улица Маршала Бирюзова, 32	master_nogtevogo_servisa_bez_opyta_1629882219	Мастер ногтевого сервиса без опыта	неполный день	не имеет значения	Фитнес, салоны красоты
4734	Москва, м. Алтуфьево, Лианозовский проезд	vakansiya_voditel_voditel_taksi_na_zarplatu_1170350693	Вакансия водитель, водитель такси на зарплату	полный день	не имеет значения	Автомобильный бизнес
4735	"м. Проспект Вернадского,  
 Вернадского 29"	administrator_fitnes_kluba_1650157665	Администратор фитнес клуба	полный день	не имеет значения	Фитнес, салоны красоты
4736	"м. Кунцевская,  
 Московская область, Одинцовский район, Немчиновка, Хорошевский проезд, д. 14"	hostes_1072002589	Хостес	сменный график	не имеет значения	Туризм, рестораны
4737	Москва, м. Сокол, метро Сокол	merchandayzer_m_sokol_1093232593	Мерчандайзер м Сокол	полный день	не имеет значения	Продажи
4738	"м. Братиславская,  
 ул. Перерва, 56/2"	menedzher_smeny_1087594508	Менеджер смены	сменный график	не имеет значения	Туризм, рестораны
4739	"м. Площадь революции,  
 Москва"	voditel_yandeks_taksi_kruglosutochnyy_vyvod_beznala_1312512103	Водитель Яндекс такси Круглосуточный вывод безнала	свободный график	не имеет значения	Транспорт, логистика
4740	"м. Домодедовская,  
 Каширское шоссе 61 корпус 3а"	diagnost-elektrik_105261600	Диагност-электрик	полный день	не имеет значения	Автомобильный бизнес
4741	Москва, м. Тульская, Варшавское шоссе	shinomontazhnik_715204810	Шиномонтажник			
4742	Москва, м. Коломенская, 2-й Нагатинский проезд, 2с1	elektrik_1126467594	Электрик	вахтовый метод	более 1 года	ЖКХ, эксплуатация
4743	Москва, м. Партизанская, Измайловское шоссе, 71к4Г-Д	voditel_taksi_kia_optima_ne_arenda_4060_1480989851	Водитель такси, киа оптима не аренда, 40/60	вахтовый метод	более 3 лет	Транспорт, логистика
4744	Москва, м. Первомайская, метро Первомайская	voditel_taksi_bez_opyta_1636711066	Водитель такси без опыта	сменный график	не имеет значения	Управление персоналом
4745	Москва, м. Коломенская, проспект Андропова, 22	avtomoyschiki_1656184167	Автомойщики			
4746	Москва, м. Нагатинская, 2-й Нагатинский проезд, 2с2	voditel_v_shtat_na_postoyannuyu_rabotu_v_taksopark_1677215801	Водитель в штат, на постоянную работу в таксопарк	сменный график	более 3 лет	Автомобильный бизнес
4747	"м. Площадь революции,  
 Москва"	upakovschiktsa.vahta_s_prozhivaniem_1675078343	Упаковщик(ца).Вахта с проживанием	вахтовый метод	не имеет значения	Производство, сырьё, с/х
4748	Москва, м. Тушинская, Новопоселковая улица, д.6, корп. 216.1, этаж 4	shveya_730299114	Швея	полный день	более 3 лет	Производство, сырьё, с/х
4749	Москва, м. Ботанический сад, проезд Серебрякова, 2к1	avtomoyschik_1377788884	Автомойщик	сменный график	более 3 лет	Автомобильный бизнес
4750	Москва, м. Озёрная, Озёрная улица, 45А	avtoslesar_623358789	Автослесарь	сменный график	более 1 года	Автомобильный бизнес
4751	Москва, м. ВДНХ, Ростокинский проезд, 3с61	avtoelektrik_v_avtoservis_1070014241	Автоэлектрик в автосервис	полный день	более 1 года	Автомобильный бизнес
4752	"м. Аннино,  
 МО, Ленинский р-он, п.Булатниково ,ул.Центральная 1А"	voditel_pogruzchika_910036892	Водитель погрузчика	полный день	более 1 года	Транспорт, логистика
4753	Москва, м. Фрунзенская, Комсомольский проспект, 29	prodavets-konsultant_m._frunzenskaya_1263376093	Продавец-консультант (м. Фрунзенская)	сменный график	не имеет значения	Продажи
4754	"м. Шоссе Энтузиастов,  
 плеханова 17"	menedzher_po_prodazham_v_otdel_pechati_na_sharah_989738354	Менеджер по продажам в отдел печати на шарах			
4755	"м. Волгоградский проспект,  
 Волгоградский проспект 32, к14"	montazhnik_stendov_natyazhka_bannerov_778310501	Монтажник стендов (натяжка баннеров)	сменный график	не имеет значения	Маркетинг, реклама, PR
4756	"м. Алтуфьево,  
 Улица Лескова,дом 10"	trebuetsya_master_manikyura_v_ekonom_parikmaherskuyu_729893436	Требуется мастер маникюра в эконом парикмахерскую	полный день	более 1 года	Фитнес, салоны красоты
4757	"м. Бульвар Дмитрия Донского,  
 Бульвар Дмитрия Донского"	uborschik_1400037191	Уборщик			
4758	Москва, м. Бутырская, проезд Добролюбова, 8Ас1	raznorabochiy_na_fabriku_zefira_pitanieot_15smen_1450061828	Разнорабочий на фабрику зефира (питание,от 15смен)	вахтовый метод	не имеет значения	Производство, сырьё, с/х
4759	Москва, м. Маяковская, 1-я Тверская-Ямская улица, 2с1	konsultant-prodavets_spetsialist_ofisa_prodazh_1124456423	Консультант-продавец, специалист офиса продаж	полный день	не имеет значения	IT, интернет, телеком
